country,year,indicator,hh,hh_lo,hh_hi,plot,plot_lo,plot_hi,area,area_lo,area_hi,n_plot,n_hh
Ethiopia,2016,parcel_certificate,0.5860710103464231,0.5440200514304832,0.628121969262363,0.554925611721209,0.5110121527464093,0.5988390706960087,0.5559015298677472,0.49823553699569023,0.6135675227398042,12850,3619
Ethiopia,2019,parcel_rentedin,0.24203185732893157,0.20635714129530935,0.2777065733625538,0.15235008169122555,0.13158175599357982,0.17311840738887127,0.18635541467133637,0.14193303256742268,0.23077779677525007,7849,2768
Ethiopia,2019,parcel_rentedout,0.1166496355216357,0.08711615288119581,0.14618311816207558,0.06754023439764681,0.050533510744671474,0.08454695805062215,,,,7849,2768
Ethiopia,2019,parcel_purchased,0.0682431715445565,0.042387253909655635,0.09409908917945736,0.03289174103266303,0.012495983762629996,0.05328749830269606,0.018277845847705036,0.005514403642253621,0.03104128805315645,7849,2768
Ethiopia,2019,parcel_certificate,0.7899615544740024,0.7469438587539768,0.832979250194028,0.7166637329088965,0.6744816889513088,0.7588457768664842,0.7310554503998256,0.6705131759872787,0.7915977248123724,7849,2768
Ethiopia,2022,parcel_rentedin,0.23401457191427835,0.1913256124343374,0.2767035313942193,0.13427784556536543,0.11171484419859297,0.1568408469321379,0.19206274766363982,0.13780148643571372,0.24632400889156592,6523,2033
Ethiopia,2022,parcel_rentedout,0.04959366051435845,0.030870500442081072,0.06831682058663582,0.021835740368727954,0.012200669191046063,0.03147081154640984,,,,6523,2033
Ethiopia,2022,parcel_purchased,0.08223222091206589,0.05251204384379688,0.1119523979803349,0.03523590943642406,0.020069330144659975,0.050402488728188144,0.02690270311146532,0.012377547875380647,0.041427858347549994,5614,1988
Ethiopia,2022,parcel_certificate,0.7815115920241125,0.7329174503899375,0.8301057336582874,0.6882277378484465,0.6366940429590617,0.7397614327378312,0.7402010714225276,0.6755256409119806,0.8048765019330745,5614,1988
Malawi,2010,parcel_rentedin,0.10123348190320458,0.0914674265380217,0.11099953726838746,0.0732210807175869,0.06520232833753471,0.08123983309763909,0.07168984444548553,0.06251103296638351,0.08086865592458754,19264,10401
Malawi,2010,parcel_rentedout,0.0013533274344791752,0.0005046185318782216,0.0022020363370801287,0.000782699773249176,0.00028963849681607737,0.0012757610496822746,0.0007999398433562885,0.00020874735807262777,0.0013911323286399492,19264,10401
Malawi,2010,parcel_purchased,0.031711554376116446,0.026801086848395064,0.03662202190383783,0.02803260392808864,0.022714167147868877,0.0333510407083084,0.0371737299904863,0.027320763949294745,0.047026696031677855,19264,10401
Malawi,2010,parcel_certificate,,,,,,,,,,0,0
Malawi,2016,parcel_rentedin,0.09590116805683825,0.08705804174422718,0.10474429436944932,0.08027388233832196,0.07228438543971541,0.08826337923692851,0.07699593026832023,0.06602001597316369,0.08797184456347677,14118,9646
Malawi,2016,parcel_rentedout,0.013068266851833153,0.010337996262272116,0.01579853744139419,0.009845280983322739,0.007780380662704171,0.011910181303941307,0.009736772850388853,0.007496818078984803,0.011976727621792901,14118,9646
Malawi,2016,parcel_purchased,0.04269036887830065,0.036927228031887305,0.04845350972471399,0.036209032813757466,0.030838369618902396,0.04157969600861254,0.04839548621718433,0.039549136978475806,0.05724183545589285,14118,9646
Malawi,2016,parcel_certificate,0.010946476508629671,0.008344267814985061,0.013548685202274282,0.009673447614286682,0.006945529525909249,0.012401365702664115,0.021910958018041805,0.013294740429388578,0.03052717560669503,12329,8672
Malawi,2019,parcel_rentedin,0.10011988849658217,0.09083221573530414,0.10940756125786019,0.07436591434954323,0.06661136104079046,0.082120467658296,0.0725618939580522,0.06298321294124541,0.08214057497485898,14703,8798
Malawi,2019,parcel_rentedout,0.010408221423113973,0.007795324054072394,0.013021118792155551,0.006438860525631795,0.004843353369090376,0.008034367682173214,0.005220487063893537,0.0036594737587980052,0.0067815003689890695,14703,8798
Malawi,2019,parcel_purchased,,,,,,,,,,0,0
Malawi,2019,parcel_certificate,,,,,,,,,,0,0
Mali,2014,parcel_rentedin,0.030114606084721468,0.015160731975494784,0.04506848019394815,0.013023812087030096,0.006397095497403603,0.01965052867665659,0.006448995979538538,0.0015203887702359715,0.011377603188841104,9658,2299
Mali,2014,parcel_rentedout,,,,,,,,,,0,0
Mali,2014,parcel_purchased,0.018337267129897267,0.0028932449674264962,0.03378128929236804,0.008381882936752311,0.0008698722728710468,0.015893893600633577,0.0063776495684089276,0.0015460515511474893,0.011209247585670365,9658,2299
Mali,2014,parcel_certificate,0.07465514712721778,0.053562336044348055,0.09574795821008751,0.040732852773056376,0.027224213473518118,0.054241492072594634,0.04510251263688023,0.02906683856907106,0.06113818670468941,9658,2299
Mali,2017,parcel_rentedin,0.010141894419956757,0.0036065084820804194,0.016677280357833096,0.0036180457973538174,0.0009545254073031013,0.0062815661874045334,0.002245382045663361,0.0007489277697526676,0.003741836321574054,24250,6293
Mali,2017,parcel_rentedout,,,,,,,,,,0,0
Mali,2017,parcel_purchased,0.007618709246485683,0.00369873763863218,0.011538680854339185,0.0030355212930683662,0.001465320641382979,0.004605721944753754,0.0027269878076364813,0.0010260934867047209,0.004427882128568242,24250,6293
Mali,2017,parcel_certificate,0.06310319977953589,0.04246839430709452,0.08373800525197726,0.030887687317434416,0.020814491026005633,0.0409608836088632,0.02012474713222657,0.013697900544171556,0.026551593720281583,24250,6293
Niger,2011,parcel_rentedin,0.23164759556542824,0.1988733426049625,0.264421848525894,0.14256598686032879,0.11659173569718392,0.16854023802347365,0.1025378655457399,0.07597934803994151,0.1290963830515383,6664,2339
Niger,2011,parcel_rentedout,0.0006315473418777973,-0.00020257426693886442,0.0014656689506944592,0.00020846222239542748,-6.666485531918462e-05,0.00048358930011003956,8.293541030562887e-05,-4.179944102372578e-05,0.00020767026163498353,6664,2339
Niger,2011,parcel_purchased,0.1414981688969602,0.11985839123761471,0.1631379465563057,0.08214807762785976,0.06703503509536295,0.09726112016035658,0.07554845879014699,0.05597809945392026,0.09511881812637371,5370,2049
Niger,2011,parcel_certificate,0.1260461377739995,0.09742136475665596,0.15467091079134307,0.08505720834402264,0.05800293838336932,0.11211147830467597,0.08740644608689552,0.05891791129288546,0.11589498088090558,5370,2049
Niger,2014,parcel_rentedin,0.03790251118330965,0.009241128951377898,0.06656389341524141,0.023840061333426487,0.002748476458486894,0.04493164620836608,0.022038997496525686,-0.001912750818061762,0.045990745811113135,5634,2168
Niger,2014,parcel_rentedout,0.004911563796782184,0.0017125691780174638,0.008110558415546905,0.0020383377473891582,0.0007372054524332392,0.0033394700423450773,0.0017528830136304438,0.0005072521651705195,0.0029985138620903682,5634,2168
Niger,2014,parcel_purchased,0.14910902907462725,0.12599589839302272,0.17222215975623179,0.09824488352487436,0.08047347438474867,0.11601629266500005,0.09408958628579892,0.07457743153733162,0.11360174103426621,4874,1943
Niger,2014,parcel_certificate,0.05516656914317787,0.0370031829449443,0.07332995534141144,0.041071079822284244,0.02700561032828668,0.05513654931628181,0.04490165225944541,0.025953755696644744,0.06384954882224608,4876,1943
Nigeria,2011,parcel_rentedin,0.10317779153853843,0.0859826997468084,0.12037288333026845,0.08969844075179405,0.07274152133592607,0.10665536016766203,0.10462583237213352,0.07344618349539797,0.13580548124886907,5995,3086
Nigeria,2011,parcel_rentedout,0.0018515012978978578,0.00033522819182857464,0.003367774403967141,0.001538722752327669,8.51978941944448e-05,0.0029922476104608936,0.0010983214330770432,-0.00033662511237548946,0.0025332679785295756,5995,3086
Nigeria,2011,parcel_purchased,0.09672256904272523,0.07996176201170083,0.11348337607374964,0.0688509851587154,0.056671830586834816,0.081030139730596,0.08804138475295133,0.06301653287469537,0.11306623663120728,5995,3086
Nigeria,2011,parcel_certificate,,,,,,,,,,0,0
Nigeria,2013,parcel_rentedin,0.10399800572368223,0.0831112925696116,0.12488471887775286,0.10093182947225748,0.07678542786691572,0.12507823107759924,0.16428529212631945,0.07333955244393715,0.25523103180870177,5861,2962
Nigeria,2013,parcel_rentedout,0.00555764346164602,0.001644303606261238,0.009470983317030803,0.00375887635340934,0.0012084497306478928,0.006309302976170788,0.003390683907353835,2.6096181575873886e-07,0.006781106852891912,5861,2962
Nigeria,2013,parcel_purchased,0.07145490873497992,0.05689589737849071,0.08601392009146913,0.05441978648156911,0.043128587516928704,0.06571098544620951,0.05352265549789284,0.03647064537159044,0.07057466562419523,5861,2962
Nigeria,2013,parcel_certificate,0.1094627779818356,0.07347200256618454,0.14545355339748667,0.08958636152889288,0.05901705546393188,0.12015566759385388,0.06934560190065873,0.03292029351552084,0.10577091028579663,1501,887
Nigeria,2016,parcel_rentedin,0.08980226231928355,0.07237982049360647,0.10722470414496063,0.07669035441198986,0.05740870645204974,0.09597200237192999,0.06809759240261372,0.04509266002418012,0.09110252478104731,5824,2869
Nigeria,2016,parcel_rentedout,0.006016976581918268,0.0028729209161672065,0.009161032247669329,0.0038841328324790768,0.0016038806423443385,0.006164385022613815,0.006036270880647526,0.0019947702285778397,0.010077771532717213,5824,2869
Nigeria,2016,parcel_purchased,0.08846972465143377,0.07274548431957352,0.10419396498329402,0.061538842275196466,0.049654835244091956,0.07342284930630098,0.06883914897984345,0.04930335119110435,0.08837494676858254,5824,2869
